;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
23/12/2023 06:00;43605,97;43650,02;43537,85;43632,84;0,06%;-0,25%;-0,16%;0,04%;0,08%;-0,33%;519,59846;22654064,48;25453;252,60266;11013532,18;49%;78338,942;-1,92%;1,80%;52,4;7,09%;-5,14%;0,016285;-1,33%;0,63%;0;0
23/12/2023 07:00;43632,85;43650,1;43553,44;43562,32;-0,16%;-0,32%;0,13%;0,16%;0,25%;-0,02%;486,836;21225590,1;24352;218,17382;9512578,395;45%;78251,253;-2,02%;1,34%;52,37;3,38%;-5,52%;0,016285;-1,33%;0,63%;3486,56;3486,56
23/12/2023 08:00;43562,31;43630,62;43559,58;43620,42;0,13%;-0,31%;0,02%;0,11%;0,11%;0,07%;570,34228;24862441;27052;304,22537;13261894,85;53%;78691,621;-0,89%;1,96%;52,03;2,58%;-6,97%;0,01;-1,96%;0,00%;6154,1001;6154,1001
23/12/2023 09:00;43620,43;43669,88;43531;43627,87;0,02%;0,14%;-0,10%;0,04%;0,30%;-0,01%;715,70832;31208154,14;33397;317,63366;13850397,43;44%;79071,724;-0,16%;2,73%;52,1;2,04%;-6,91%;0,01;-1,96%;0,00%;349,2472;349,2472
23/12/2023 10:00;43627,88;43646,1;43562,72;43583,42;-0,10%;-0,25%;-0,08%;0,08%;0,43%;0,23%;489,82839;21356563,57;27917;227,52307;9919676,149;46%;79344,06;0,14%;2,95%;52,17;1,40%;-6,25%;0,01;-1,96%;0,00%;130,824;130,824
23/12/2023 11:00;43583,42;43616,81;43490,01;43547,78;-0,08%;-0,20%;0,36%;0,48%;0,58%;0,11%;592,26442;25785363,28;29363;243,72624;10611268,94;41%;79873,662;0,86%;3,94%;52,19;1,66%;-5,66%;0,01;-1,96%;0,00%;0;0
23/12/2023 12:00;43547,78;43758;43547,77;43704,91;0,36%;0,08%;0,01%;0,15%;0,35%;-0,16%;748,44242;32677644,53;41655;411,95746;17984345,99;55%;79317,342;0,79%;2,91%;51,88;0,02%;-6,39%;0,01;-1,96%;0,00%;131,2125;131,2125
23/12/2023 13:00;43704,91;43769,52;43642,27;43709,99;0,01%;0,36%;0,17%;0,21%;0,33%;-0,15%;663,90782;29016486,01;33747;300,81046;13148630,64;45%;79424,552;0,73%;3,08%;52,07;0,58%;-5,89%;0,01;-0,80%;0,00%;524,8896;524,8896
23/12/2023 14:00;43709,98;43800;43670,82;43784,31;0,17%;0,22%;-0,06%;0,16%;0,16%;-0,06%;652,35502;28526021,66;35306;326,3013;14268977,76;50%;79751,531;1,93%;3,88%;51,5;-0,66%;-6,64%;0,01;-0,80%;0,00%;0;0
23/12/2023 15:00;43784,32;43856;43719;43756,24;-0,06%;-0,44%;0,08%;0,20%;0,21%;-0,07%;755,31056;33069179,59;37238;393,71772;17238546,33;52%;79434,019;1,73%;3,10%;51,39;0,08%;-6,44%;0,01;-0,80%;0,00%;2101,536;2101,536
23/12/2023 16:00;43756,24;43845,54;43706,7;43789,27;0,08%;0,34%;-0,10%;0,04%;0,14%;-0,25%;571,36481;25005059,07;33391;265,07297;11600695,86;46%;79390,785;2,31%;3,67%;51,23;0,06%;-6,48%;0,015066;-0,29%;0,51%;1577,4444;1577,4444
23/12/2023 17:00;43789,27;43808;43726,61;43746,88;-0,10%;0,23%;0,09%;0,24%;0,24%;-0,19%;452,75789;19819037,71;29284;203,54839;8909896,246;45%;79448,961;2,20%;4,41%;50,95;-1,03%;-6,58%;0,015066;-0,29%;0,51%;7398,5327;7398,5327
