,entry strat, entry_strategy, sl_strategy, tp_strategy, num trades, perf, avg_perf, win_rate
164359,{'duration_above_SMA20_d': ['x > 1']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 4320']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
94919,{'7d_dollar_volume_rank': ['x == 2']  'relative_volume': ['x > 2']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_low,tp_x_sigma_2,27,12.72,0.47,44.4
119919,{'duration_above_SMA20_d': ['x > 5']  'prev_24h_chg': ['x > 3']  'long_%': ['x < 50']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,19,12.72,0.67,15.8
83668,{'dollar_volume': ['x > 100000000']  '7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -3']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_2.5,16,12.72,0.8,68.8
102522,{'duration_above_SMA20_d': ['x > 1']  'dollar_volume': ['x > 100000000']  'n_hours_breakout_high': ['x > 1440']  'n_hours_breakout_close': ['x > 4320']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
91741,{'duration_above_SMA20_d': ['x > 1']  '30d_volume_per_trade_rank': ['x == 2']  'long_%': ['x < 80']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_3,19,12.72,0.67,57.9
45723,{'dollar_volume': ['x > 100000000']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 1440']  'n_hours_breakout_close': ['x > 720']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
73855,{'week_end': ['x == False']  '7d_dollar_volume_rank': ['x == 2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_5,12,12.72,1.06,58.3
10253,{'duration_above_SMA20_d': ['x > 3']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 4320']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
141630,{'closed_green': ['x == True']  'week_end': ['x == False']  'long_%': ['x < 80']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_2,26,12.72,0.49,65.4
101801,{'duration_above_SMA20_d': ['x > 3']  'prev_24h_chg': ['x > 3']  'long_%': ['x < 50']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,19,12.72,0.67,15.8
31561,{'duration_above_SMA20_d': ['x > 1']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 4320']  'n_hours_breakout_close': ['x > 720']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
